;host_is_superhost;host_listings_count;latitude;longitude;property_type;room_type;accommodates;bathrooms;bedrooms;beds;bed_type;amenities;price;guests_included;extra_people;minimum_nights;maximum_nights;number_of_reviews;instant_bookable;is_business_travel_ready;cancellation_policy;ano;mes
10;f;7;-22.98551;-43.2041;Serviced apartment;Entire home/apt;6;3.0;3.0;0.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",Crib,""Room-darkening shades"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Beach essentials"",""Luggage dropoff allowed"",""Long term stays allowed"",""Flat path to front door"",""Well-lit path to entrance"",""Wide doorway"",""Wide clearance to bed"",""Wide clearance to shower, toilet"",""Wide entryway"",""Host greets you"",""Full kitchen"",""Paid parking on premises""}";$878.00;4;$132.00;2;89;65;t;f;strict_14_with_grace_period;2019;4
11;f;4;-23.00307;-43.30911;House;Entire home/apt;12;7.0;4.0;7.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Doorman,Breakfast,""Pets live on this property"",Elevator,""Hot tub"",""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events"",Washer,Dryer,Essentials,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets""}";$2,408.00;1;$0.00;1;730;7;f;f;strict_14_with_grace_period;2019;4
12;t;2;-22.98108;-43.19078;Apartment;Entire home/apt;3;1.0;0.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Private entrance"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""Beach essentials"",""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallway clearance"",""Step-free access"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Step-free access"",""Accessible-height toilet"",Waterfront,Beachfront}";$143.00;2;$75.00;3;1125;120;t;f;strict_14_with_grace_period;2019;4
13;f;3;-22.98021;-43.20232;Apartment;Entire home/apt;4;3.0;2.0;5.0;Real Bed;"{TV,""Cable TV"",Internet,""Air conditioning"",Kitchen,Doorman,Elevator,""Family/kid friendly"",Washer,Dryer,""Host greets you""}";$1,301.00;4;$1,000.00;2;30;0;f;f;strict_14_with_grace_period;2019;4
14;f;7;-22.98623;-43.20353;Serviced apartment;Entire home/apt;6;3.0;3.0;0.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Breakfast,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Full kitchen"",""Paid parking on premises""}";$1,798.00;3;$88.00;2;89;55;t;f;strict_14_with_grace_period;2019;4
15;f;2;-22.92873;-43.17473;Apartment;Entire home/apt;4;2.0;3.0;4.0;Real Bed;"{TV,Internet,Wifi,""Wheelchair accessible"",Kitchen,""Paid parking off premises"",""Pets allowed"",Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",Washer,Dryer,Essentials,Shampoo,Hangers,Iron,""Laptop friendly workspace"",""High chair"",""Hot water"",Other}";$260.00;1;$0.00;4;60;1;f;f;strict_14_with_grace_period;2019;4
16;t;3;-22.98282;-43.19571;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}";$151.00;2;$0.00;3;89;166;t;f;strict_14_with_grace_period;2019;4
17;f;1;-22.98498;-43.19135;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",""Private entrance""}";$112.00;1;$39.00;4;365;79;f;f;strict_14_with_grace_period;2019;4
18;t;5;-22.9863;-43.19708;Serviced apartment;Entire home/apt;5;1.0;1.0;4.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Babysitter recommendations"",""Pack ’n Play/travel crib"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed""}";$350.00;2;$19.00;1;420;300;t;f;strict_14_with_grace_period;2019;4
19;f;3;-22.91843;-43.17793;Townhouse;Private room;2;1.0;1.0;1.0;Real Bed;"{Internet,Wifi,""Air conditioning"",Kitchen,Breakfast,""Pets live on this property"",Dog(s),""Free street parking"",Washer,Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}";$214.00;2;$0.00;5;1000;84;t;f;strict_14_with_grace_period;2019;4
20;f;1;-22.98467;-43.19753;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;"{TV,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",Elevator,Heating,""Smoke detector"",Essentials,Hangers,""Hair dryer"",""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Luggage dropoff allowed"",""Long term stays allowed"",""Step-free access"",""Well-lit path to entrance"",""Host greets you"",""Paid parking on premises""}";$264.00;2;$777.00;4;120;13;f;f;strict_14_with_grace_period;2019;4
21;f;1;-22.98509;-43.30056;House;Private room;2;1.0;1.0;1.0;Real Bed;"{TV,Wifi,""Air conditioning"",Pool,""Free parking on premises"",""Smoking allowed"",Doorman,""Pets live on this property"",Dog(s),Washer,Essentials,""Hair dryer"",Iron}";$151.00;2;$0.00;2;360;2;f;f;strict_14_with_grace_period;2019;4
22;f;9;-22.98152;-43.19018;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,Essentials,""24-hour check-in"",Hangers,""Hair dryer"",""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Hot water"",""Long term stays allowed""}";$109.00;2;$50.00;4;1125;15;t;f;strict_14_with_grace_period;2019;4
23;f;1;-22.98238;-43.19366;Condominium;Entire home/apt;4;1.0;2.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}";$283.00;4;$388.00;5;180;88;t;f;strict_14_with_grace_period;2019;4
24;f;1;-22.98119;-43.19373;Apartment;Entire home/apt;12;4.0;4.0;8.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Hangers,Iron,""Laptop friendly workspace"",""Bed linens"",Microwave,Refrigerator,""Dishes and silverware"",Oven,Stove}";$396.00;6;$66.00;2;365;112;t;f;strict_14_with_grace_period;2019;4
25;t;7;-22.92875;-43.19341;Bed and breakfast;Private room;16;5.0;7.0;10.0;Real Bed;"{Internet,Wifi,""Wheelchair accessible"",Pool,Kitchen,""Smoking allowed"",Breakfast,""Pets live on this property"",Cat(s),""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""First aid kit"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Luggage dropoff allowed"",""Long term stays allowed"",""Wide doorway"",""Step-free access"",""Wide clearance to bed"",""Step-free access"",""Wide entryway""}";$175.00;2;$44.00;1;30;189;f;f;moderate;2019;4
26;f;1;-22.97678;-43.19208;Apartment;Private room;2;1.5;1.0;1.0;Real Bed;"{TV,Internet,Wifi,Kitchen,Elevator,""Family/kid friendly"",Washer}";$202.00;1;$200.00;2;6;5;f;f;moderate;2019;4
27;t;2;-22.91431;-43.18884;Apartment;Entire home/apt;2;1.0;1.0;2.0;Real Bed;"{Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Family/kid friendly"",Essentials,""24-hour check-in"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Lockbox,""Hot water"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Long term stays allowed""}";$85.00;1;$60.00;1;365;84;t;f;strict_14_with_grace_period;2019;4
28;t;7;-22.97629;-43.23145;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Long term stays allowed"",""Host greets you""}";$140.00;2;$25.00;5;89;25;f;f;strict_14_with_grace_period;2019;4
29;f;2;-22.92519;-43.19118;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;"{TV,Internet,Wifi,Kitchen,""Smoking allowed"",""Pets allowed"",""Free street parking"",""Buzzer/wireless intercom"",""Suitable for events"",Washer,""Smoke detector"",""Fire extinguisher"",Essentials,""24-hour check-in"",""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Host greets you""}";$78.00;1;$43.00;2;60;13;t;f;moderate;2019;4
